profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,uczelnia,stanowisko_raw
Cezary Kabała,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-9796-3716,NA,NA,NA,31,31,221.701,110.351,6915,306,UPWr6dbdc7326bc44233b7889163e9913a13,https://bazawiedzy.upwr.edu.pl/info/author/UPWr6dbdc7326bc44233b7889163e9913a13?lang=pl&r=publication&tab=main,upwr,profesor
Waldemar Kamaj,NA,laborant,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPWr971cd134a9964c38a2155c9d2d414190,https://bazawiedzy.upwr.edu.pl/info/author/UPWr971cd134a9964c38a2155c9d2d414190?lang=pl&r=publication&tab=main,upwr,laborant
Anna Karczewska,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-1457-1368,NA,NA,NA,24,23,140.831,61.891,3672,296,UPWr78599776ae6844018c22307835928c76,https://bazawiedzy.upwr.edu.pl/info/author/UPWr78599776ae6844018c22307835928c76?lang=pl&r=publication&tab=main,upwr,profesor
Dorota Kawałko,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-8339-648X,NA,NA,NA,9,9,63.19,27.794,2234,177,UPWre49a6b0e5b3b4e7693dd135b88d603ae,https://bazawiedzy.upwr.edu.pl/info/author/UPWre49a6b0e5b3b4e7693dd135b88d603ae?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Andrzej Kocowicz,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-0958-3543,NA,NA,NA,10,10,72.289,27.915,2044,142,UPWra4d3d104943c48e89c938f80be92194d,https://bazawiedzy.upwr.edu.pl/info/author/UPWra4d3d104943c48e89c938f80be92194d?lang=pl&r=publication&tab=main,upwr,adiunkt
Piotr Komarnicki,dr hab. inż.,profesor uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-3930-9502,NA,NA,NA,12,11,63.468,32.012,1937,69,UPWrbdf1d5568c3f4aa4b0eeb3a375caa3c6,https://bazawiedzy.upwr.edu.pl/info/author/UPWrbdf1d5568c3f4aa4b0eeb3a375caa3c6?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Kamil Kostyn,dr,adiunkt,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0003-3485-0938,NA,NA,NA,16,16,105.179,39.942,2129,51,UPWrdd797a5df73144e2a23d7b5e6e9015e9,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdd797a5df73144e2a23d7b5e6e9015e9?lang=pl&r=publication&tab=main,upwr,adiunkt
Bogna Kosyk,dr inż.,główny specjalista,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-4016-0503,NA,NA,NA,3,3,13.72,3.616,420,6,UPWr1090aeda1bb94fd18b363acddf7a014b,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1090aeda1bb94fd18b363acddf7a014b?lang=pl&r=publication&tab=main,upwr,główny specjalista
Anna Koszelnik-Leszek,dr inż.,adiunkt,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-5929-9372,NA,NA,NA,5,4,18.652,9.384,1028,70,UPWr752e020e13c9452ea228d3705b04a762,https://bazawiedzy.upwr.edu.pl/info/author/UPWr752e020e13c9452ea228d3705b04a762?lang=pl&r=publication&tab=main,upwr,adiunkt
Joanna Kowalska,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-4086-5696,NA,NA,NA,11,12,71.442,27.285,1862,27,UPWr026bf5e53b2841c18c4957a5d2852761,https://bazawiedzy.upwr.edu.pl/info/author/UPWr026bf5e53b2841c18c4957a5d2852761?lang=pl&r=publication&tab=main,upwr,adiunkt
Bartosz Kozak,dr inż.,adiunkt,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-6472-3273,NA,NA,NA,12,12,101.818,34.286,2841,98,UPWr2d626d1caad44522af72cc6e6bba8ff4,https://bazawiedzy.upwr.edu.pl/info/author/UPWr2d626d1caad44522af72cc6e6bba8ff4?lang=pl&r=publication&tab=main,upwr,adiunkt
Marcin Kozak,prof. dr hab. inż.,profesor,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-0715-6844,NA,NA,NA,12,10,92.291,33.662,4055,181,UPWr613908909420433ea818a45f46bb14dc,https://bazawiedzy.upwr.edu.pl/info/author/UPWr613908909420433ea818a45f46bb14dc?lang=pl&r=publication&tab=main,upwr,profesor
Magdalena Kręcisz,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-5518-3906,NA,NA,NA,5,8,53.3,16.596,1732,25,UPWre07ae282563d4e45a679b70eee9a6f6c,https://bazawiedzy.upwr.edu.pl/info/author/UPWre07ae282563d4e45a679b70eee9a6f6c?lang=pl&r=publication&tab=main,upwr,adiunkt
Jan Krężel,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0002-6582-5535,NA,NA,NA,3,3,8.44,3.409,466,39,UPWr3a4f60d7b84f4143a3ca26a8ed034e31,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3a4f60d7b84f4143a3ca26a8ed034e31?lang=pl&r=publication&tab=main,upwr,adiunkt
Mateusz Krupski,dr,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-7992-967X,NA,NA,NA,6,5,28.045,12.226,1405,15,UPWrc29c25e7df06493083f806298a9f8441,https://bazawiedzy.upwr.edu.pl/info/author/UPWrc29c25e7df06493083f806298a9f8441?lang=pl&r=publication&tab=main,upwr,adiunkt
Aleksander Krzyś,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-6362-9015,NA,NA,NA,1,1,7.077,2.159,1169,91,UPWrdc45c1f5d1784661a607951b32c5031a,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdc45c1f5d1784661a607951b32c5031a?lang=pl&r=publication&tab=main,upwr,adiunkt
Zofia Kubińska,NA,laborant,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,1,1,3.7,1.14,140,1,UPWr1dde91ea757949ee938c47e33534da08,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1dde91ea757949ee938c47e33534da08?lang=pl&r=publication&tab=main,upwr,laborant
Piotr Kuc,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-0258-9977,NA,NA,NA,4,4,14.798,5.15,689,40,UPWr9bbe3b4cb417470d994beecaad2e133f,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9bbe3b4cb417470d994beecaad2e133f?lang=pl&r=publication&tab=main,upwr,adiunkt
Grzegorz Kulczycki,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-3411-6661,NA,NA,NA,9,9,77.37,22.953,2102,127,UPWrd4f55f16c2c5421d9c5ce5e6d17345b7,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd4f55f16c2c5421d9c5ce5e6d17345b7?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Krzysztof Lech,prof. dr hab. inż.,profesor,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-6540-5274,NA,NA,NA,31,31,219.49,82.735,5038,141,UPWr7cc3e4a9190645b7b2a2ff928878258c,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7cc3e4a9190645b7b2a2ff928878258c?lang=pl&r=publication&tab=main,upwr,profesor
Anna Lehmann-Skoczylas,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-5267-1939,NA,NA,NA,1,1,1.225,1.064,143,63,UPWr97424464a6f146b08363a4f7084c65ea,https://bazawiedzy.upwr.edu.pl/info/author/UPWr97424464a6f146b08363a4f7084c65ea?lang=pl&r=publication&tab=main,upwr,adiunkt
Agnieszka Lejman,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-3885-3725,NA,NA,NA,7,6,28.171,13.839,844,71,UPWrb9758404ca594e0fa7f5e75dbe043932,https://bazawiedzy.upwr.edu.pl/info/author/UPWrb9758404ca594e0fa7f5e75dbe043932?lang=pl&r=publication&tab=main,upwr,adiunkt
Krzysztof Lejman,dr hab. inż.,profesor uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-7223-6595,NA,NA,NA,4,3,18.833,6.268,1170,115,UPWr4ee124ce52124b39b5fb3d27bbf09923,https://bazawiedzy.upwr.edu.pl/info/author/UPWr4ee124ce52124b39b5fb3d27bbf09923?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Sylwia Lewandowska,dr hab. inż.,profesor uczelni,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-8576-4357,NA,NA,NA,9,9,60.814,23.825,2280,76,UPWr51adaaa2352649068c09331a4c4ef8a0,https://bazawiedzy.upwr.edu.pl/info/author/UPWr51adaaa2352649068c09331a4c4ef8a0?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Maria Licznar-Małańczuk,dr hab. inż.,profesor uczelni,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-0996-2049,NA,NA,NA,9,8,32.4,17.031,1387,185,UPWr7a257655cee941eca51e35da30222716,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7a257655cee941eca51e35da30222716?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Marek Liszewski,dr hab. inż.,profesor uczelni,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-3703-3119,NA,NA,NA,5,5,29.475,10.99,1254,257,UPWr55ce5526c70348eba59b1d528180c886,https://bazawiedzy.upwr.edu.pl/info/author/UPWr55ce5526c70348eba59b1d528180c886?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Beata Łabaz,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-0957-015X,NA,NA,NA,19,19,97.555,47.152,3307,172,UPWr1e8b1e9b5e3d484e96893baea3547b54,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1e8b1e9b5e3d484e96893baea3547b54?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Elżbieta Magnucka,dr,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0001-5439-4795,NA,NA,NA,8,8,39.232,17.205,1049,28,UPWread642657b874d7da872aa1a7d326a53,https://bazawiedzy.upwr.edu.pl/info/author/UPWread642657b874d7da872aa1a7d326a53?lang=pl&r=publication&tab=main,upwr,adiunkt
Klaudia Masztalerz,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-1186-2891,NA,NA,NA,11,11,123.666,33.176,2906,50,UPWre7e0860cb8ba41f9bbdb18d6b2e9870f,https://bazawiedzy.upwr.edu.pl/info/author/UPWre7e0860cb8ba41f9bbdb18d6b2e9870f?lang=pl&r=publication&tab=main,upwr,adiunkt
Krzysztof Matkowski,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-8832-3765,NA,NA,NA,7,5,18.466,9.113,696,123,UPWr3233e1f9830e4cee9e175eb5f4d11fda,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3233e1f9830e4cee9e175eb5f4d11fda?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Agnieszka Medyńska-Juraszek,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-9891-2600,NA,NA,NA,21,20,105.957,39.181,3457,149,UPWrb9f6b3165ca644198a581291d02c6b36,https://bazawiedzy.upwr.edu.pl/info/author/UPWrb9f6b3165ca644198a581291d02c6b36?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Kamila Nowosad,prof. dr hab. inż.,profesor,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-6837-7806,NA,NA,NA,17,17,117.62,56.8,4486,152,UPWr60ed5ccd95364870838b47fdd2605c01,https://bazawiedzy.upwr.edu.pl/info/author/UPWr60ed5ccd95364870838b47fdd2605c01?lang=pl&r=publication&tab=main,upwr,profesor
Małgorzata Oksińska,dr,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-1545-481X,NA,NA,NA,6,6,24.797,11.027,679,18,UPWr378698ef2ffa4dc4be08088ba9ebfb1e,https://bazawiedzy.upwr.edu.pl/info/author/UPWr378698ef2ffa4dc4be08088ba9ebfb1e?lang=pl&r=publication&tab=main,upwr,adiunkt
Marta Pasławska,dr hab. inż.,profesor uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-6418-9928,NA,NA,NA,9,8,29.252,10.445,1322,89,UPWr9f90891bbd9c457eb02dab2773bb3b64,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9f90891bbd9c457eb02dab2773bb3b64?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Katarzyna Patejuk,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0001-7236-8005,NA,NA,NA,6,5,56.835,24.09,2573,123,UPWr196e6a4028bb4a279338251c48cb57f2,https://bazawiedzy.upwr.edu.pl/info/author/UPWr196e6a4028bb4a279338251c48cb57f2?lang=pl&r=publication&tab=main,upwr,adiunkt
Krzysztof Pawłowski,mgr inż.,kierownik stacji badawczo - dydaktycznej,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,NA,NA,NA,NA,25,2,UPWr9d735999b415442e9d60fc2c920a4315,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9d735999b415442e9d60fc2c920a4315?lang=pl&r=publication&tab=main,upwr,kierownik stacji badawczo - dydaktycznej
Katarzyna Pentoś,dr hab. inż.,profesor uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-0666-1948,NA,NA,NA,11,11,76.058,35.518,3258,99,UPWr0735d615d6124b7b9c2b20c37de50c90,https://bazawiedzy.upwr.edu.pl/info/author/UPWr0735d615d6124b7b9c2b20c37de50c90?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Krzysztof Pieczarka,dr hab. inż.,profesor uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-8704-8853,NA,NA,NA,4,4,16.365,7.861,947,144,UPWr56dcbf3efe8841c0bcf6d9247b779427,https://bazawiedzy.upwr.edu.pl/info/author/UPWr56dcbf3efe8841c0bcf6d9247b779427?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Katarzyna Pieczka,mgr,starszy technik,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,1,1,5.9,1.341,180,4,UPWR1861f9d865fd44c5ace724e700d85cf9,https://bazawiedzy.upwr.edu.pl/info/author/UPWR1861f9d865fd44c5ace724e700d85cf9?lang=pl&r=publication&tab=main,upwr,starszy technik
Mirosława Pietryka,dr inż.,adiunkt,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-2796-6097,NA,NA,NA,9,8,46.233,18.3,1480,41,UPWrd9216260cad6415695af88f70db7f23e,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd9216260cad6415695af88f70db7f23e?lang=pl&r=publication&tab=main,upwr,adiunkt
Elżbieta Pląskowska,prof. dr hab. inż.,profesor,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-8643-9318,NA,NA,NA,11,9,38.483,19.188,2347,163,UPWr492bd29bf8484103aab10426ab6377f1,https://bazawiedzy.upwr.edu.pl/info/author/UPWr492bd29bf8484103aab10426ab6377f1?lang=pl&r=publication&tab=main,upwr,profesor
Aldona Płaczek,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-2235-9466,NA,NA,NA,3,3,6.292,2.983,311,23,UPWr560effd97a3a441693a1cc28dc8cdd0d,https://bazawiedzy.upwr.edu.pl/info/author/UPWr560effd97a3a441693a1cc28dc8cdd0d?lang=pl&r=publication&tab=main,upwr,adiunkt
Marta Preisner,dr inż.,adiunkt,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0002-0447-4102,NA,NA,NA,11,11,67.108,24.479,1305,23,UPWrdf7c15f2b0d941359ada6f86c7762123,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdf7c15f2b0d941359ada6f86c7762123?lang=pl&r=publication&tab=main,upwr,adiunkt
Daniel Pruchniewicz,prof. dr hab. inż.,profesor,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-9841-0192,NA,NA,NA,9,8,50.639,25.744,1724,54,UPWrfb83896c916f4b4089f7d8c598db22fc,https://bazawiedzy.upwr.edu.pl/info/author/UPWrfb83896c916f4b4089f7d8c598db22fc?lang=pl&r=publication&tab=main,upwr,profesor
Wojciech Pusz,prof. dr hab. inż.,profesor,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0003-1531-2739,NA,NA,NA,14,13,95.834,50.607,3730,240,UPWr5dcc8e1f3ed4403b9feb431b4237f5aa,https://bazawiedzy.upwr.edu.pl/info/author/UPWr5dcc8e1f3ed4403b9feb431b4237f5aa?lang=pl&r=publication&tab=main,upwr,profesor
Elżbieta Pytlarz,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-2740-1608,NA,NA,NA,3,3,26.317,8.672,998,121,UPWr9244b9e632ca43028ee1a99abbfc3ab8,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9244b9e632ca43028ee1a99abbfc3ab8?lang=pl&r=publication&tab=main,upwr,adiunkt
Małgorzata Raduła,dr,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-9578-6135,NA,NA,NA,6,7,50.772,14.312,1490,34,UPWRad5285e0e49c410db060a98593c0895b,https://bazawiedzy.upwr.edu.pl/info/author/UPWRad5285e0e49c410db060a98593c0895b?lang=pl&r=publication&tab=main,upwr,adiunkt
Dominika Reszewicz,mgr,starszy technik,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0003-4518-8265,NA,NA,NA,NA,NA,NA,NA,40,3,UPWra2a7db5a050842acbfc374e4a01de3ed,https://bazawiedzy.upwr.edu.pl/info/author/UPWra2a7db5a050842acbfc374e4a01de3ed?lang=pl&r=publication&tab=main,upwr,starszy technik
Dorota Richter,dr hab. inż.,profesor uczelni,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0003-3024-9766,NA,NA,NA,12,11,63.024,26.518,1833,55,UPWr71945f43e00b4462bd1d82ca6615c0a1,https://bazawiedzy.upwr.edu.pl/info/author/UPWr71945f43e00b4462bd1d82ca6615c0a1?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Magdalena Rowińska,mgr inż.,asystent,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0009-0005-3183-9356,NA,NA,NA,2,2,6.4,2.672,240,17,UPWr2b393712b4e54823b7f46d8f3225e8c2,https://bazawiedzy.upwr.edu.pl/info/author/UPWr2b393712b4e54823b7f46d8f3225e8c2?lang=pl&r=publication&tab=main,upwr,asystent
Sandra Rychel-Bielska,dr,adiunkt,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0002-2429-8054,NA,NA,NA,7,7,65.638,18.348,1870,19,UPWr5f9fe48732fd46c3a28944b36fd125cd,https://bazawiedzy.upwr.edu.pl/info/author/UPWr5f9fe48732fd46c3a28944b36fd125cd?lang=pl&r=publication&tab=main,upwr,adiunkt
Elżbieta Sacała,dr,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-4824-5424,NA,NA,NA,10,10,35.505,18.686,1333,93,UPWr3a81ed99741142149197c242f5e7b43f,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3a81ed99741142149197c242f5e7b43f?lang=pl&r=publication&tab=main,upwr,adiunkt
Magdalena Serafin-Andrzejewska,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-5932-3301,NA,NA,NA,5,6,41.022,13.636,1748,88,UPWr85809ccbfa634f8bb7e0f4b12db67715,https://bazawiedzy.upwr.edu.pl/info/author/UPWr85809ccbfa634f8bb7e0f4b12db67715?lang=pl&r=publication&tab=main,upwr,adiunkt
Mariusz Skrzyński,NA,laborant,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,2,2,13.2,3.242,340,3,UPWr3f53ddd12a5c47b98f2b56030dbd27c0,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3f53ddd12a5c47b98f2b56030dbd27c0?lang=pl&r=publication&tab=main,upwr,laborant
Monika Słupska,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-7446-7250,NA,NA,NA,4,4,31.804,11.362,1080,12,UPWrd47226775e8c458fbc6bf0cfa67509fb,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd47226775e8c458fbc6bf0cfa67509fb?lang=pl&r=publication&tab=main,upwr,adiunkt
Ireneusz Sosna,dr hab. inż.,profesor uczelni,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0001-5165-7406,NA,NA,NA,5,4,11.718,9.19,899,244,UPWr3042028700724e53a700545eb1e0c353,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3042028700724e53a700545eb1e0c353?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Józef Sowiński,prof. dr hab. inż.,profesor,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-4611-9897,NA,NA,NA,13,13,130.398,51.348,4208,187,UPWr3a4e49175cd64de38e081b73d10ae283,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3a4e49175cd64de38e081b73d10ae283?lang=pl&r=publication&tab=main,upwr,profesor
Marek Stachowiak,dr inż.,adiunkt,Katedra Ekonomii Stosowanej,Wydział Przyrodniczo-Technologiczny,0000-0003-2860-1353,NA,NA,NA,1,1,0.28,NA,68,15,UPWr146291aaf29c4525a5416b041009e202,https://bazawiedzy.upwr.edu.pl/info/author/UPWr146291aaf29c4525a5416b041009e202?lang=pl&r=publication&tab=main,upwr,adiunkt
Sylwia Stegenta-Dąbrowska,dr inż.,adiunkt,Katedra Biogospodarki Stosowanej,Wydział Przyrodniczo-Technologiczny,0000-0001-7161-1878,NA,NA,NA,11,12,99.303,34.117,3231,52,UPWreed26deeca194a5bba895f6423e5567a,https://bazawiedzy.upwr.edu.pl/info/author/UPWreed26deeca194a5bba895f6423e5567a?lang=pl&r=publication&tab=main,upwr,adiunkt
Bogdan Stępień,prof. dr hab. inż.,profesor,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0003-0903-922X,NA,NA,NA,11,11,63.667,21.255,2121,112,UPWr352edf13feef4719ab7de8386107cc9b,https://bazawiedzy.upwr.edu.pl/info/author/UPWr352edf13feef4719ab7de8386107cc9b?lang=pl&r=publication&tab=main,upwr,profesor
Kamila Stępień,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-5848-2194,NA,NA,NA,2,2,8.457,2.77,307,13,UPWrfea8ef2a7a334940ac7ac8445d79f2eb,https://bazawiedzy.upwr.edu.pl/info/author/UPWrfea8ef2a7a334940ac7ac8445d79f2eb?lang=pl&r=publication&tab=main,upwr,adiunkt
Piotr Stępień,dr,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-9058-6142,NA,NA,NA,10,11,80.761,24.286,1491,31,UPWr9a9cf897a13d4c099ced1da7e4936ead,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9a9cf897a13d4c099ced1da7e4936ead?lang=pl&r=publication&tab=main,upwr,adiunkt
Roman Stopa,prof. dr hab. inż.,profesor,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-0183-6542,NA,NA,NA,11,10,46.12,22.09,1416,102,UPWrcedee0dd50584d9192cfec0facdd9126,https://bazawiedzy.upwr.edu.pl/info/author/UPWrcedee0dd50584d9192cfec0facdd9126?lang=pl&r=publication&tab=main,upwr,profesor
Oleksandra Strashok,dr,adiunkt,Katedra Architektury Krajobrazu,Wydział Gospodarki Przestrzennej i Architektury Krajobrazu,0000-0002-2779-7692,NA,NA,NA,4,4,11.734,4.209,597,15,UPWr6c23e02bdf27458a9d2b27693bbd84f9,https://bazawiedzy.upwr.edu.pl/info/author/UPWr6c23e02bdf27458a9d2b27693bbd84f9?lang=pl&r=publication&tab=main,upwr,adiunkt
Katarzyna Szczepańska,dr,adiunkt,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-7752-3024,NA,NA,NA,7,8,49.275,19.965,1662,39,UPWr539f258c741148729f9e8c24f3fcd05a,https://bazawiedzy.upwr.edu.pl/info/author/UPWr539f258c741148729f9e8c24f3fcd05a?lang=pl&r=publication&tab=main,upwr,adiunkt
Adam Szewczuk,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0002-4808-5619,NA,NA,NA,5,5,6.911,5.775,641,262,UPWr866ca5a9b4f8466eaf1f3bb888ffe767,https://bazawiedzy.upwr.edu.pl/info/author/UPWr866ca5a9b4f8466eaf1f3bb888ffe767?lang=pl&r=publication&tab=main,upwr,profesor
Katarzyna Szopka,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-9280-2972,NA,NA,NA,13,13,71.47,29.251,2002,149,UPWr8c35d9435ada46cbb778a19af3065254,https://bazawiedzy.upwr.edu.pl/info/author/UPWr8c35d9435ada46cbb778a19af3065254?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
